Sample Name	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[collection environment]	Term Source REF	Term Accession Number	Parameter Value[storage environment]	Term Source REF	Term Accession Number	Sample Name	Protocol REF	Parameter Value[quantity of tissue]	Unit	Term Source REF	Term Accession Number	Parameter Value[sample volume]	Unit	Term Source REF	Term Accession Number	Extract Name	Characteristics[RNA concentration]	Unit	Term Source REF	Term Accession Number	Characteristics[RNA integrity number]	Term Source REF	Term Accession Number	Characteristics[260nm/280nm ratio]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[labeling kit lot number]	Term Source REF	Term Accession Number	Parameter Value[amount of cRNA]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Characteristics[labeled RNA quality control]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[amount of labeled probe]	Unit	Term Source REF	Term Accession Number	Parameter Value[chip lot number]	Term Source REF	Term Accession Number	Parameter Value[chip expiration date]	Term Source REF	Term Accession Number	Parameter Value[staining lot number]	Term Source REF	Term Accession Number	Parameter Value[staining duration]	Unit	Term Source REF	Term Accession Number	Hybridization Assay Name	Array Design REF	Comment[array expression accession number]	Protocol REF	Parameter Value[scanner model]	Term Source REF	Term Accession Number	Parameter Value[scanner version]	Term Source REF	Term Accession Number	Parameter Value[scanner speed]	Term Source REF	Term Accession Number	Parameter Value[number of pixel per row]	Term Source REF	Term Accession Number	Date	Scan Name	Array Data File	Protocol REF	Normalization Name	Derived Array Data File	Protocol REF	Data Transformation Name	Derived Array Data File	Protocol REF	Data Transformation Name	Derived Array Data Matrix File	Factor Value[compound]	Term Source REF	Term Accession Number	Factor Value[dose]	Term Source REF	Term Accession Number	Factor Value[duration of exposure]	Unit	Term Source REF	Term Accession Number
FP001RO_A21_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A21_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1544	29.13	ug	UO	23	7.1			2.05			labeling	567402			3	ug	UO	23	1544-biotin-labeled	biotin	CHEBI	15956	1.93			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22555bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6309			2006-07-04T00.00.00.0 UTC	d22555bm_1	transcriptome/d22555bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			4	day	UO	33
FP001RO_A23_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A23_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1545	28.0592	ug	UO	23	7.3			2.14			labeling	567402			3	ug	UO	23	1545-biotin-labeled	biotin	CHEBI	15956	1.95			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22556bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6325			2006-07-04T00.00.00.0 UTC	d22556bm_1	transcriptome/d22556bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			4	day	UO	33
FP001RO_A25_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A25_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1546	44.15	ug	UO	23	4.5			2.14			labeling	567402			3	ug	UO	23	1546-biotin-labeled	biotin	CHEBI	15956	2.03			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22557bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6304			2006-07-04T00.00.00.0 UTC	d22557bm_1	transcriptome/d22557bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			4	day	UO	33
FP001RO_A27_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A27_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1547	13.38	ug	UO	23	7.2			2.06			labeling	567402			3	ug	UO	23	1547-biotin-labeled	biotin	CHEBI	15956	1.9			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22558bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6312			2006-07-04T00.00.00.0 UTC	d22558bm_1	transcriptome/d22558bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			4	day	UO	33
FP001RO_A29_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A29_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1548	28.6932	ug	UO	23	6.7			2.14			labeling	567402			3	ug	UO	23	1548-biotin-labeled	biotin	CHEBI	15956	1.93			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22559bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6365			2006-07-04T00.00.00.0 UTC	d22559bm_1	transcriptome/d22559bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			4	day	UO	33
FP001RO_A31_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A31_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1549	44.1536	ug	UO	23	5.8			2.15			labeling	567402			3	ug	UO	23	1549-biotin-labeled	biotin	CHEBI	15956	1.92			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22560bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6362			2006-07-04T00.00.00.0 UTC	d22560bm_1	transcriptome/d22560bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			15	day	UO	33
FP001RO_A33_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A33_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1550	13.7	ug	UO	23	8.1			2.04			labeling	567402			3	ug	UO	23	1550-biotin-labeled	biotin	CHEBI	15956	1.91			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22561bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6280			2006-07-04T00.00.00.0 UTC	d22561bm_1	transcriptome/d22561bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			15	day	UO	33
FP001RO_A35_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A35_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1551	14.97	ug	UO	23	6.5			2.06			labeling	567402			3	ug	UO	23	1551-biotin-labeled	biotin	CHEBI	15956	1.95			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22562bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6282			2006-07-04T00.00.00.0 UTC	d22562bm_1	transcriptome/d22562bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			15	day	UO	33
FP001RO_A37_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A37_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1552	33.3892	ug	UO	23	6.9			2.15			labeling	567402			3	ug	UO	23	1552-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22563bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6365			2006-07-04T00.00.00.0 UTC	d22563bm_1	transcriptome/d22563bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			15	day	UO	33
FP001RO_A39_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A39_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1553	33.03	ug	UO	23	7.1			2.02			labeling	567402			3	ug	UO	23	1553-biotin-labeled	biotin	CHEBI	15956	1.93			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22564-2bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6294			2006-07-07T00.00.00.0 UTC	d22564-2bm_1	transcriptome/d22564-2bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			15	day	UO	33
FP001RO_A41_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A41_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1554	0.94	ug	UO	23	7.2			2.05			labeling	567402			0.75	ug	UO	23	1554-biotin-labeled	biotin	CHEBI	15956	2.09			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22565-2bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6302			2006-07-07T00.00.00.0 UTC	d22565-2bm_1	transcriptome/d22565-2bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			15	day	UO	33
FP001RO_A43_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A43_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1555	25.42	ug	UO	23	7			2.05			labeling	567402			3	ug	UO	23	1555-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22566-2bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6296			2006-07-07T00.00.00.0 UTC	d22566-2bm_1	transcriptome/d22566-2bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			15	day	UO	33
FP001RO_A45_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A45_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1556	4.15	ug	UO	23	6.2			2.04			labeling	567402			3	ug	UO	23	1556-biotin-labeled	biotin	CHEBI	15956	1.93			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22567-2bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6305			2006-07-07T00.00.00.0 UTC	d22567-2bm_1	transcriptome/d22567-2bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			15	day	UO	33
FP001RO_A2_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A2_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1557	37.7596	ug	UO	23	8.9			2.11			labeling	567402			3	ug	UO	23	1557-biotin-labeled	biotin	CHEBI	15956	2.01			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22568bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6302			2006-07-04T00.00.00.0 UTC	d22568bm_1	transcriptome/d22568bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A4_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A4_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1558	38.8804	ug	UO	23	8.8			2.11			labeling	567402			3	ug	UO	23	1558-biotin-labeled	biotin	CHEBI	15956	1.92			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22569bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6391			2006-07-04T00.00.00.0 UTC	d22569bm_1	transcriptome/d22569bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A6_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A6_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1559	43.2456	ug	UO	23	8.6			2.11			labeling	567402			3	ug	UO	23	1559-biotin-labeled	biotin	CHEBI	15956	1.92			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22570bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6360			2006-07-04T00.00.00.0 UTC	d22570bm_1	transcriptome/d22570bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
FP001RO_A8_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A8_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1560	27.06	ug	UO	23	8.6			2.05			labeling	567402			3	ug	UO	23	1560-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22571bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6372			2006-07-04T00.00.00.0 UTC	d22571bm_1	transcriptome/d22571bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
